domain,data_item,crew_page,api,dto_field,local_calculation,fallback,snapshot_or_cache,test_mode_difference,confidence
weekly-league,시즌 필터 옵션,/weekly-ranking,GET /api/weekly-league,cards[].seasonName,getSeasonFilterValue + parseYearSeason 으로 연도·시즌 순 정렬,'전체 시즌',클라 캐시,없음,MEDIUM
vacation,휴식 신청 가능 주차,/vacation,GET /api/vacation?org,"eligibleWeeks[]{weekId,weekNumber,seasonKey,seasonType,startDate,endDate}",contiguousPrefix() 로 연속 구간만 유지 · MAX_VACATION_WEEKS 검증,[],없음(no-store),demoUserId 부착,HIGH
vacation,내 휴식 신청 내역,/vacation,GET /api/vacation?org,"myApplications[]{groupId,displayStatus,category,weeks[],spanStart,spanEnd,reason,createdAt,cancelState}",STATUS_KEY 로 배지 클래스 매핑 · cancelState 로 취소 버튼 차단 문구,[],없음,demoUserId 부착,HIGH
vacation,휴식 요약,/vacation,GET /api/vacation?org,"summary{fulfilledWeeks,upcomingWeeks}",없음,"{0,0}",없음,demoUserId 부착,HIGH
vacation,조직 스코프,/vacation,GET /api/vacation?org,viewerOrg,isOrgSlug 검증 실패 시 null → 개인 데이터 clear,null,없음,없음,HIGH
auth,승인 상태,"/career, /cluster-2, /cluster-3, /cluster-4-card, /auth/post-login",GET /api/auth/check-status,"{success,status}",status==='approved' 불리언화,false,없음,세션 전용(demoUserId 미지원),HIGH
auth,QA 배포 접근 허용,모든 (main-layout) 페이지(QA 배포만),GET /api/qa-mode/access,"{allowed,reason}",판정 실패 시 blocked,blocked,없음(no-store),운영 배포는 가드 미마운트,HIGH
auth,기존 회원 찾기,/sign-in,POST /api/members/find,FindResult,없음,에러 문구,없음,없음,MEDIUM
summary,이력서 요약(index-two),/index-two[-ec|-ok|-px],GET /api/profile/summary,"{reliabilityRate,completionRate,practicalCounts,badges,seasonHistories}",시즌명 영문→한글 매핑,0 / hasXData=false,없음,세션 전용,LOW
help,도움말 본문,"/cluster-4-1, /cluster-4-card",GET /api/help-contents · /api/help-contents/{key},{contents},module-level inflight 공유,'등록된 도움말이 없습니다',module inflight 캐시,없음,HIGH
scope,모집단 스코프(operating/test),전 페이지,-,-,"getDeployMode(): QA_FIXED_TEST_ONLY=true 로 현재 항상 'test' 고정 — URL ?mode= 는 무시(no-op)",operating,없음,URL 로 전환 불가 · 배포 env 고정,HIGH
scope,테스트 유저 타깃 해석,"/cluster-2, /cluster-3, /cluster-4, /cluster-4-1, /cluster-4-card, /career, layout 사이드바",-,-,"useDemoUserMode: targetUserId = userId||userID || demoUserId || actAsTestUserId",세션 본인,-,3경로(userId/demoUserId/actAsTestUserId) 우선순위 상이,MEDIUM
scope,프로필 캐시 키,전 cluster 페이지,GET /api/profile,-,"ProfileContext 는 /api/profile/?userId= 만 사용 — demoUserId 를 URL 에 부착하지 않음",-,ProfileContext 5분 + fetch-dedupe 30s(2단),demoUserId 미부착으로 캐시 키 충돌 가능,LOW
